date_time,traffic_volume,is_interpolated
2012-10-02,4219.266666666666,0
2012-10-03,3317.25,0
2012-10-04,3747.4583333333335,0
2012-10-05,4242.545454545455,0
2012-10-06,3256.9565217391305,0
2012-10-07,3058.6363636363635,0
2012-10-08,3422.2916666666665,0
2012-10-09,3770.304347826087,0
2012-10-10,4093.8333333333335,0
2012-10-11,3911.842105263158,0
2012-10-12,4025.8,0
2012-10-13,2937.5,0
2012-10-14,2852.2162162162163,0
2012-10-15,3192.8571428571427,0
2012-10-16,3727.9583333333335,0
2012-10-17,3656.56,0
2012-10-18,3682.5,0
2012-10-19,3414.0,0
2012-10-20,2731.75,0
2012-10-21,2400.0,0
2012-10-22,3072.8571428571427,0
2012-10-23,3537.5833333333335,0
2012-10-24,4013.3469387755104,0
2012-10-25,4197.6,0
2012-10-26,3510.796296296296,0
2012-10-27,3065.2916666666665,0
2012-10-28,2353.5833333333335,0
2012-10-29,3519.0833333333335,0
2012-10-30,3674.8333333333335,0
2012-10-31,3614.0416666666665,0
2012-11-01,3761.7916666666665,0
2012-11-02,3804.375,0
2012-11-03,2810.125,0
2012-11-04,2329.36,0
2012-11-05,3507.590909090909,0
2012-11-06,3169.2903225806454,0
2012-11-07,3555.232558139535,0
2012-11-08,3779.375,0
2012-11-09,3880.2916666666665,0
2012-11-10,2807.6666666666665,0
2012-11-11,1909.301886792453,0
2012-11-12,2963.44,0
2012-11-13,3727.88,0
2012-11-14,3983.5,0
2012-11-15,3856.5652173913045,0
2012-11-16,3777.375,0
2012-11-17,2778.9565217391305,0
2012-11-18,2330.5833333333335,0
2012-11-19,3515.9166666666665,0
2012-11-20,3728.2916666666665,0
2012-11-21,4005.2580645161293,0
2012-11-22,1974.4166666666667,0
2012-11-23,2585.939393939394,0
2012-11-24,2345.8260869565215,0
2012-11-25,2353.8695652173915,0
2012-11-26,3327.8260869565215,0
2012-11-27,3547.7916666666665,0
2012-11-28,3575.75,0
2012-11-29,3785.1304347826085,0
2012-11-30,3796.0,0
2012-12-01,3378.3055555555557,0
2012-12-02,2522.1,0
2012-12-03,3286.1714285714284,0
2012-12-04,3814.8518518518517,0
2012-12-05,3803.8695652173915,0
2012-12-06,3787.5416666666665,0
2012-12-07,3737.75,0
2012-12-08,3056.076923076923,0
2012-12-09,1261.2173913043478,0
2012-12-10,2915.5223880597014,0
2012-12-11,3043.9615384615386,0
2012-12-12,3248.0344827586205,0
2012-12-13,3495.68,0
2012-12-14,3735.5384615384614,0
2012-12-15,2549.52,0
2012-12-16,2226.3456790123455,0
2012-12-17,3110.0,0
2012-12-18,4020.0555555555557,0
2012-12-19,3500.8636363636365,0
2012-12-20,3533.3928571428573,0
2012-12-21,3449.3513513513512,0
2012-12-22,2582.7083333333335,0
2012-12-23,2131.782608695652,0
2012-12-24,2268.1666666666665,0
2012-12-25,1603.28,0
2012-12-26,2949.4583333333335,0
2012-12-27,3130.75,0
2012-12-28,3215.0,0
2012-12-29,2358.0731707317073,0
2012-12-30,2357.714285714286,0
2012-12-31,3028.8,0
2013-01-01,1659.0416666666667,0
2013-01-02,3355.5925925925926,0
2013-01-03,3539.9285714285716,0
2013-01-04,3402.8064516129034,0
2013-01-05,2907.9473684210525,0
2013-01-06,2085.035714285714,0
2013-01-07,3360.5,0
2013-01-08,3364.4545454545455,0
2013-01-09,3748.9,0
2013-01-10,2771.5555555555557,0
2013-01-11,3329.6060606060605,0
2013-01-12,2762.3529411764707,0
2013-01-13,1838.2857142857142,0
2013-01-14,3668.0,0
2013-01-15,3350.8636363636365,0
2013-01-16,3819.7727272727275,0
2013-01-17,3813.730769230769,0
2013-01-18,3665.375,0
2013-01-19,2753.4166666666665,0
2013-01-20,2201.722222222222,0
2013-01-21,2730.0476190476193,0
2013-01-22,3432.3684210526317,0
2013-01-23,3787.8636363636365,0
2013-01-24,3740.2272727272725,0
2013-01-25,3640.3333333333335,0
2013-01-26,2005.125,0
2013-01-27,1898.4666666666667,0
2013-01-28,3360.6666666666665,0
2013-01-29,434.0,0
2013-01-30,3913.217391304348,0
2013-01-31,3388.2727272727275,0
2013-02-01,3558.4583333333335,0
2013-02-02,2799.6666666666665,0
2013-02-03,2151.8260869565215,0
2013-02-04,3323.0416666666665,0
2013-02-05,3455.7272727272725,0
2013-02-06,3375.5263157894738,0
2013-02-07,3767.4444444444443,0
2013-02-08,3459.9310344827586,0
2013-02-09,3090.7368421052633,0
2013-02-10,1485.9130434782608,0
2013-02-11,3481.7924528301887,0
2013-02-12,3276.52,0
2013-02-13,3535.75,0
2013-02-14,3620.3142857142857,0
2013-02-15,3156.04,0
2013-02-16,2917.4347826086955,0
2013-02-17,2585.923076923077,0
2013-02-18,3117.0416666666665,0
2013-02-19,3569.3809523809523,0
2013-02-20,3550.5,0
2013-02-21,3962.75,0
2013-02-22,3072.1666666666665,0
2013-02-23,2310.4358974358975,0
2013-02-24,2087.3793103448274,0
2013-02-25,3100.1612903225805,0
2013-02-26,3710.8571428571427,0
2013-02-27,3851.235294117647,0
2013-02-28,3511.0526315789475,0
2013-03-01,3943.391304347826,0
2013-03-02,3016.7391304347825,0
2013-03-03,2581.7727272727275,0
2013-03-04,3082.65,0
2013-03-05,2514.5185185185187,0
2013-03-06,3158.92,0
2013-03-07,3484.4375,0
2013-03-08,3514.6071428571427,0
2013-03-09,2619.5,0
2013-03-10,2263.266666666667,0
2013-03-11,2650.9565217391305,0
2013-03-12,3834.230769230769,0
2013-03-13,3807.0,0
2013-03-14,3446.6666666666665,0
2013-03-15,3661.5625,0
2013-03-16,3263.133333333333,0
2013-03-17,2253.785714285714,0
2013-03-18,2784.6923076923076,0
2013-03-19,4292.178571428572,0
2013-03-20,3825.681818181818,0
2013-03-21,3820.6666666666665,0
2013-03-22,3877.4583333333335,0
2013-03-23,3103.2083333333335,0
2013-03-24,2469.7916666666665,0
2013-03-25,3619.153846153846,0
2013-03-26,3504.875,0
2013-03-27,3672.391304347826,0
2013-03-28,3694.875,0
2013-03-29,3640.4583333333335,0
2013-03-30,2683.3333333333335,0
2013-03-31,1961.8918918918919,0
2013-04-01,3442.3809523809523,0
2013-04-02,3679.9583333333335,0
2013-04-03,3804.1666666666665,0
2013-04-04,3899.3478260869565,0
2013-04-05,3781.7391304347825,0
2013-04-06,3250.21875,0
2013-04-07,2727.34375,0
2013-04-08,3204.103448275862,0
2013-04-09,3204.1363636363635,0
2013-04-10,3592.8387096774195,0
